port_call_id,date_key,port_key,terminal_key,vessel_key,carrier_key,ship_size_class_key,route_key,arrival_datetime,berth_datetime,departure_datetime,berth_waiting_hours,at_berth_hours,turnaround_hours,crane_moves_total,is_delayed,delay_hours,year,month
1,20220107,1,2,70,11,4,2,2022-01-07 14:02:00,2022-01-08 11:18:54,2022-01-11 02:41:54,21.28,29.52,84.67,546,1,33.87,2022,1
2,20220120,1,1,55,2,1,2,2022-01-20 09:32:00,2022-01-20 20:14:52,2022-01-22 02:07:40,10.71,29.88,40.59,0,0,0.0,2022,1
3,20220129,1,2,150,6,1,2,2022-01-29 20:12:00,2022-01-30 11:28:20,2022-02-01 04:22:30,15.27,33.63,56.18,0,1,7.27,2022,1
4,20220115,1,3,37,1,3,1,2022-01-15 08:07:00,2022-01-15 23:01:55,2022-01-17 15:16:42,14.92,40.25,55.16,0,0,0.0,2022,1
5,20220111,1,1,80,3,2,3,2022-01-11 12:21:00,2022-01-12 04:47:31,2022-01-13 22:39:06,16.44,41.86,58.3,0,0,0.0,2022,1
6,20220108,1,1,9,6,2,10,2022-01-08 16:17:00,2022-01-09 11:21:44,2022-01-11 07:54:35,19.08,44.55,63.63,527,0,0.0,2022,1
7,20220129,1,2,6,1,4,1,2022-01-29 05:34:00,2022-01-29 12:09:52,2022-02-01 21:40:53,6.6,56.69,88.11,527,1,24.83,2022,1
8,20220121,1,1,8,2,2,2,2022-01-21 14:38:00,2022-01-23 13:13:36,2022-01-25 04:31:50,46.59,39.3,85.9,494,0,0.0,2022,1
9,20220107,1,1,91,3,2,3,2022-01-07 23:55:00,2022-01-09 17:29:01,2022-01-11 15:39:54,41.57,46.18,87.75,0,0,0.0,2022,1
10,20220126,1,2,95,3,1,1,2022-01-26 01:04:00,2022-01-26 06:55:30,2022-01-27 16:27:08,5.86,33.53,39.39,0,0,0.0,2022,1
11,20220119,1,1,112,6,1,1,2022-01-19 05:01:00,2022-01-19 13:02:59,2022-01-22 15:51:07,8.03,36.87,82.84,0,1,37.93,2022,1
12,20220123,1,2,100,11,5,2,2022-01-23 02:15:00,2022-01-24 03:26:42,2022-01-25 09:19:02,25.2,29.87,55.07,698,0,0.0,2022,1
13,20220111,1,1,153,3,1,1,2022-01-11 19:09:00,2022-01-12 11:35:01,2022-01-13 22:32:01,16.43,34.95,51.38,0,0,0.0,2022,1
14,20220111,1,3,131,3,2,10,2022-01-11 18:08:00,2022-01-12 00:56:38,2022-01-13 18:30:58,6.81,41.57,48.38,1011,0,0.0,2022,1
15,20220124,1,1,24,6,1,2,2022-01-24 03:01:00,2022-01-24 09:50:56,2022-01-25 20:58:10,6.83,35.12,41.95,0,0,0.0,2022,1
16,20220121,1,1,44,3,6,1,2022-01-21 08:49:00,2022-01-22 02:36:07,2022-01-24 09:41:36,17.79,48.71,72.88,866,1,6.39,2022,1
17,20220104,1,1,180,14,2,2,2022-01-04 15:12:00,2022-01-05 02:15:05,2022-01-08 02:16:31,11.05,47.94,83.08,589,1,24.08,2022,1
18,20220108,1,3,180,3,2,10,2022-01-08 14:05:00,2022-01-09 05:42:08,2022-01-10 20:16:20,15.62,38.57,54.19,793,0,0.0,2022,1
19,20220124,1,3,68,14,3,3,2022-01-24 22:04:00,2022-01-25 11:52:47,2022-01-27 11:00:17,13.81,47.13,60.94,657,0,0.0,2022,1
20,20220103,1,1,157,2,2,2,2022-01-03 22:59:00,2022-01-04 18:27:14,2022-01-05 23:04:59,19.47,28.63,48.1,0,0,0.0,2022,1
21,20220122,1,1,91,3,2,2,2022-01-22 06:50:00,2022-01-22 09:54:32,2022-01-24 08:54:03,3.08,41.38,50.07,0,1,5.61,2022,1
22,20220121,1,2,146,1,3,1,2022-01-21 11:29:00,2022-01-22 15:54:50,2022-01-24 15:36:49,28.43,47.7,76.13,458,0,0.0,2022,1
23,20220102,1,2,138,6,4,2,2022-01-02 09:25:00,2022-01-02 12:05:06,2022-01-03 12:45:31,2.67,24.67,27.34,652,0,0.0,2022,1
24,20220124,1,2,150,6,1,1,2022-01-24 18:04:00,2022-01-25 12:20:45,2022-01-28 12:42:41,18.28,31.15,90.64,0,1,41.22,2022,1
25,20220112,1,1,73,1,3,3,2022-01-12 16:22:00,2022-01-12 19:28:54,2022-01-14 21:26:26,3.12,32.14,53.07,190,1,17.81,2022,1
26,20220130,1,2,180,6,2,3,2022-01-30 04:27:00,2022-01-30 05:35:08,2022-01-31 03:54:41,1.14,22.33,23.46,33,0,0.0,2022,1
27,20220106,1,3,29,11,6,1,2022-01-06 09:10:00,2022-01-06 11:27:20,2022-01-07 20:45:32,2.29,29.7,35.59,386,1,3.6,2022,1
28,20220102,1,3,155,2,1,10,2022-01-02 16:57:00,2022-01-04 00:56:12,2022-01-05 18:22:45,31.99,26.39,73.43,0,1,15.05,2022,1
29,20220128,1,1,165,2,1,15,2022-01-28 08:08:00,2022-01-28 15:37:19,2022-01-30 01:06:21,7.49,33.48,40.97,0,0,0.0,2022,1
